3.139771418952941895e+04,6.535046302795410156e+03
3.038502054786682129e+04,6.441389831542968750e+03
3.000799819183349609e+04,6.416787063598632812e+03
2.976307321643829346e+04,6.359159141540527344e+03
2.958693085861206055e+04,6.420276130676269531e+03
2.950720229148864746e+04,6.365168624877929688e+03
2.939128594303131104e+04,6.350904479980468750e+03
2.932901688957214355e+04,6.352544952392578125e+03
2.917813523864746094e+04,6.359987892150878906e+03
2.908449495887756348e+04,6.353796600341796875e+03
2.900095508193969727e+04,6.351870613098144531e+03
2.897013401985168457e+04,6.382816299438476562e+03
2.888707245826721191e+04,6.390757949829101562e+03
2.872904947662353516e+04,6.361035209655761719e+03
2.876343926239013672e+04,6.386795333862304688e+03
2.870645703125000000e+04,6.357574317932128906e+03
2.865702889633178711e+04,6.336300224304199219e+03
2.859145386886596680e+04,6.411153472900390625e+03
2.850075630950927734e+04,6.378387107849121094e+03
2.851875984573364258e+04,6.358465293884277344e+03
2.838518107795715332e+04,6.390702033996582031e+03
2.836584633541107178e+04,6.328589874267578125e+03
2.829346219253540039e+04,6.379662704467773438e+03
2.836980579757690430e+04,6.406906585693359375e+03
2.818019803428649902e+04,6.418626800537109375e+03
2.822318804168701172e+04,6.394980041503906250e+03
2.813402019405364990e+04,6.361843383789062500e+03
2.800881168746948242e+04,6.414035278320312500e+03
2.800650226593017578e+04,6.345237075805664062e+03
2.795252827835083008e+04,6.372897315979003906e+03
